user_id,precision_at_k,recall_at_k
1,0.8,0.7272727272727273
2,0.3,0.0967741935483871
5,0.2,0.2222222222222222
7,0.4,0.4444444444444444
8,0.2,0.1111111111111111
9,0.5,0.22727272727272727
10,0.0,0.0
13,0.3,0.6
14,0.3,0.2727272727272727
17,0.2,0.3333333333333333
18,0.3,0.2727272727272727
21,0.1,0.16666666666666666
23,0.2,0.16666666666666666
24,0.1,1.0
27,0.4,0.23529411764705882
29,0.8,0.47058823529411764
30,0.1,1.0
34,0.2,0.4
37,0.2,0.16666666666666666
38,0.3,0.15789473684210525
41,0.2,0.13333333333333333
42,0.2,0.2857142857142857
43,0.5,0.15151515151515152
44,0.0,0.0
46,0.3,0.5
47,0.0,0.0
48,0.1,0.07692307692307693
49,0.1,0.16666666666666666
50,0.3,0.5
52,0.2,0.18181818181818182
53,0.2,0.15384615384615385
55,0.5,0.38461538461538464
56,0.3,0.3333333333333333
59,0.5,0.23809523809523808
62,0.4,0.25
63,0.5,0.35714285714285715
64,0.8,0.5
65,0.3,0.375
66,0.2,0.2857142857142857
67,0.3,1.0
70,0.1,1.0
71,0.5,0.2
72,0.1,0.5
74,0.0,0.0
76,0.1,0.3333333333333333
78,0.0,0.0
79,0.7,0.7
80,0.8,0.7272727272727273
81,0.1,0.3333333333333333
82,0.4,0.5714285714285714
83,0.2,0.6666666666666666
84,0.1,0.08333333333333333
86,0.2,0.11764705882352941
87,0.3,0.42857142857142855
88,0.2,0.6666666666666666
89,0.4,0.2857142857142857
90,0.2,0.4
91,0.7,0.20588235294117646
93,0.0,0.0
95,0.5,0.2777777777777778
96,0.1,0.09090909090909091
97,0.1,1.0
99,0.1,0.06666666666666667
102,0.3,0.17647058823529413
103,0.1,1.0
104,0.4,0.36363636363636365
105,0.3,0.75
106,0.4,0.23529411764705882
108,0.2,0.2222222222222222
109,0.6,0.35294117647058826
110,0.5,0.22727272727272727
111,0.4,0.16666666666666666
112,0.0,0.0
113,0.1,0.5
114,0.4,0.2
115,0.3,0.23076923076923078
116,0.2,0.4
117,0.3,0.3333333333333333
118,0.2,0.5
119,0.4,0.26666666666666666
120,0.0,0.0
121,0.2,0.4
123,0.6,0.5454545454545454
124,0.1,0.1111111111111111
125,0.7,0.3684210526315789
128,0.2,0.2
130,0.3,0.3333333333333333
131,0.3,0.375
132,0.4,0.6666666666666666
135,0.4,0.3333333333333333
138,0.1,1.0
139,0.0,0.0
140,0.5,0.21739130434782608
142,0.2,0.3333333333333333
143,0.2,0.14285714285714285
144,0.3,1.0
145,0.5,0.625
146,0.4,0.23529411764705882
147,0.5,0.38461538461538464
148,0.1,0.14285714285714285
150,0.1,0.5
